IP,Hostname,Anti-clickjacking,X-XSS-Protection,No CGI Directories found,valid response with junk HTTP,Allowed HTTP Methods,which may suggest a WAF,shellshock,OSVDB-637,OSVDB-578
192.185.154.161,kensonsitepcrepair.com,1,1,1,0,0,0,0,0,0
206.72.196.41,arenalvolcanoguides.com,1,1,1,0,1,0,0,0,0
217.182.252.143,streetartandgraffiti.com,1,1,1,0,0,0,0,0,0
208.112.30.80,paws.org.au,1,1,1,1,0,0,0,0,0
162.241.70.147,flyagents.com,1,1,1,0,1,0,0,0,0
179.188.11.27,ndbrinquedos.com.br,1,1,0,0,0,0,0,0,0
23.227.38.32,rumenterprise.com,0,0,1,0,0,0,0,0,0
50.87.165.169,gpwadv.com,1,1,1,1,0,1,0,0,0
74.220.199.6,nitrogengassprings.com,1,1,1,1,0,0,0,0,0
192.185.73.188,www.dmrservice.com,1,1,1,0,0,0,0,0,0
192.185.16.153,image-bank.base-layers.com,1,1,1,0,0,0,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
13.224.174.193,www.amazonlogistics.eu,0,0,1,0,1,1,0,0,0
45.79.222.138,avietcs.ph,1,1,1,0,0,0,0,0,0
45.79.222.138,avietcs.ph,1,1,1,0,0,0,0,0,0
45.79.222.138,avietcs.ph,1,1,1,0,0,0,0,0,0
192.185.136.61,bd.1792host.com,1,1,1,0,0,0,0,0,0
119.207.79.151,leesangku.com,1,1,1,0,0,0,0,0,0
119.207.79.151,leesangku.com,1,1,1,0,0,0,0,0,0
192.185.12.229,www.dirtydykes.za.net,1,1,1,1,1,0,0,0,0
50.87.149.73,wilburhuang.com,1,1,1,0,0,0,0,0,0
5.79.66.145,steampowered.kl.com.ua,1,1,1,0,0,0,0,0,0
192.185.169.239,everestmotors.com.np,1,1,1,0,0,0,0,0,0
192.185.169.239,everestmotors.com.np,1,1,1,0,0,0,0,0,0
176.74.18.90,braes-retreat.co.uk,1,1,0,0,0,1,0,0,0
119.207.79.151,leesangku.com,1,1,1,0,0,0,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
145.14.144.116,kjilod.000webhostapp.com,1,0,1,0,0,0,0,0,0
50.87.202.107,ugaflix.com,1,1,1,0,0,0,0,0,0
91.217.242.35,srodkidlagastronomii.pl,1,1,0,0,0,0,0,0,0
